id,name,net_worth,companies
Q124710,Mutaib bin Abdulaziz Al Saud,,
Q125609,Hugo Bänziger,,
Q125721,"Prince Emanuele Filiberto, Prince of Venice",,
Q125755,Ahmet Lokurlu,,
Q126282,Otto Ernst Meyer,,
Q126488,Robert Ng,,Sino Group
Q126508,Sereno Peck Fenn,,
Q126513,Steve Irwin,,
Q127324,André le Breton,,
Q127524,Edward H. Rollins,,
Q127707,Robert Eugene Bush,,
Q128449,Sophia Jansson,,Moomin Characters
Q128774,Patrik Hofbauer,,
Q128911,Ezer Weizman,,
Q129263,Bill Moggridge,,
Q129454,Peter Egardt,,
Q129679,"Colin Moynihan, 4th Baron Moynihan",,
Q129745,Pampita,,
Q129819,Jules Richard,,Jules Richard Instruments
Q130093,Jean-Claude Biver,,
Q130447,Ian Somerhalder,,
Q131010,Augusto B. Leguía,,
Q132320,Elmer Swenson,,
Q132431,Grigory Shelikhov,,
Q133601,Murphy J. Foster,,
Q133746,Ōkubo Nagayasu,,
Q133925,Patrick Allen,,
Q134183,Magic Johnson,,
Q136392,Guillaume Pepy,,"Société nationale des chemins de fer français, Société nationale des chemins de fer français, Salesforce - New York Stock Exchange, Salesforce - New York Stock Exchange, Salesforce - New York Stock Exchange, Salesforce - New York Stock Exchange, Salesforce - New York Stock Exchange, Lagardère Group - Euronext Paris, Lagardère Group - Euronext Paris, CPP Investment Board, Chemours - New York Stock Exchange, Chemours - New York Stock Exchange"
Q136596,Eduardo López de Romaña,,
Q136790,Guillermo Billinghurst,,
Q137338,Charlotte Guillard,,
Q138351,Andrea Agnelli,,
Q138903,Newby O. Brantly,,
Q139272,Rajarsi Janakananda,,
Q139414,Zachariah Chandler,,
Q140962,Ramón González-Babé y Castro,,
Q141494,Tom Delaney,,
Q141523,Louis Cottereau,,
Q142215,George A. Hormel,,
Q142216,Gastón Acurio,,
Q144191,Marco Tronchetti Provera,,
Q145343,Darl McBride,,
Q145392,Michel de Carvalho,,
Q145682,Peter Wallenberg,,
Q146929,Ajay Devgn,,
Q149062,Samuel Morton Peto,,
Q149127,Pat Buchanan,,
Q149997,Zeppo Marx,,
Q179382,John Kluge,,
Q180004,Fergie,,
Q180453,Dolly Parton,,
Q180455,Aristotle Onassis,,
Q180599,James Armstrong Richardson,,
Q180639,Patrice Motsepe,,
Q180704,Iron Man,,
Q180975,Andrew Lloyd Webber,,
Q181881,Rino Sashihara,,
Q182484,Donald Edgar Tewes,,
