id,name,mediums,styles,galleries_exhibits
Q156272,André Derain,"panel, canvas, oil paint, cardboard, paper, stone, sepia, tempera, charcoal, laid paper, wove paper, graphite","Cezannian cubism, Cubism, fauvism","Art Institute of Chicago, Thyssen-Bornemisza Museum, Solomon R. Guggenheim Museum, Fine Arts Museums of San Francisco, National Gallery of Victoria, Los Angeles County Museum of Art, Hermitage Museum, Metropolitan Museum of Art, Museum of Modern Art, National Gallery of Art, Musée d'Orsay, Philadelphia Museum of Art, Statens Museum for Kunst, ""degenerate art"" collection, Museum of Fine Arts Boston, Art Gallery of New South Wales, John Quinn Art Collection, Wallraf–Richartz Museum, Minneapolis Institute of Art, Musée Picasso, National Gallery of Australia, Musée d'art moderne de Paris, Davis Museum and Cultural Center, musée d'Art moderne de Troyes, Uehara Museum of Modern Art, Jean Walter-Paul Guillaume Collection, Prints in the National Gallery of Art, drawings in the National Gallery of Art, http://www.wikidata.org/.well-known/genid/c31ff601540b4bdc1910fadefd917dd9, National Museum of Modern Art, Tate, National Gallery, Bavarian State Painting Collections, National Museum of Western Art, Rosenwald Collection, Detroit Institute of Arts, Pushkin Museum of Fine Arts, McNay Art Museum, The Phillips Collection, Kunsthalle Bremen, National Museum of Art, Architecture and Design, Cleveland Museum of Art, National Gallery of Canada, Museum of Fine Arts, Houston, Yale University Art Gallery, National Galleries Scotland, Fitzwilliam Museum, Carnegie Museum of Art, Indianapolis Museum of Art, The Nelson-Atkins Museum of Art"
Q156567,Henri Cartier-Bresson,gelatin silver print,humanistic photography,"National Gallery of Art, The Phillips Collection, Photographs in the National Gallery of Art, Cleveland Museum of Art"
Q156700,Erich Heckel,"canvas, tempera, oil paint, gouache paint, panel, pencil, watercolor paint, woodcut process, black chalk, paper, drypoint technique, laid paper, wove paper, lithography, graphite","Die Brücke, Expressionism","Museum Folkwang, Galerie Neue Meister, Busch–Reisinger Museum, Staatsgalerie Stuttgart, Silesian Museum of Fine Arts, Amgueddfa Cymru – Museum Wales, Kunstmuseum Mülheim an der Ruhr, Kunstsammlungen der Stadt Düsseldorf, Q1792617, Q131787231, Abteiberg Museum, Kunsthalle Mannheim, Wilhelm-Hack-Museum, Angermuseum, Henze & Ketterer Gallery, National Gallery of Art, Alte Nationalgalerie, National Museum Cardiff, Gelsenkirchen Art Museum, Westphalian State Museum of Art and Cultural History, National Museum in Szczecin, ""degenerate art"" collection, Städel Museum, Augustiner Museum, Museum der bildenden Künste, Kunsthalle Bremen, Brücke Museum, Kunstmuseen Krefeld, Hamburger Kunsthalle, Gemäldegalerie Alte Meister, Kaiser Wilhelm Museum, Neue Nationalgalerie, Güstrow City Museum, Museum Ludwig, Kulturhistorisches Museum Magdeburg, Niedersächsisches Landesmuseum für Kunst und Kulturgeschichte, Osthaus-Museum Hagen, Wallraf–Richartz Museum, Kulturhistorisches Museum Rostock, Museum of Fine Arts Ghent (MSK), Virginia Museum of Fine Arts, Thyssen-Bornemisza Museum, National Gallery of Victoria, Los Angeles County Museum of Art, Prints in the National Gallery of Art, drawings in the National Gallery of Art, David Bowie's art collection, Statens Museum for Kunst, Bavarian State Painting Collections, Stedelijk Museum Amsterdam"
Q156869,Robert Landsburg,,,
Q156942,Charles Wheatstone,,,
Q157578,Alexander Archipenko,"panel, ink, marble, bronze, canvas, oil paint, papier-mâché","Salon Cubism, futurism, Cubism","Museum van Bommel van Dam, Middelheim Museum, Vanderbilt Museum of Art, Metropolitan Museum of Art, National Gallery of Art, Philadelphia Museum of Art, Strasbourg Museum of Modern and Contemporary Art, Lynden Sculpture Garden, The Phillips Collection, Smithsonian American Art Museum, Yale University Art Gallery, Israel Museum, Museum Ludwig, Munich Central Collecting Point, Indianapolis Museum of Art, Sculptures in the National Gallery of Art, Mauerbach collection, Fogg Museum, Harvard Art Museums"
Q158056,Nam June Paik,"Buddharupa, pen, paintbrush, television, computer monitor, flowering plant, paper, camera, pastel, aluminum, found object, monitor, tulle, India ink, television set, wove paper, graphite","Fluxus, Neo-Dada, Dada","Museum Folkwang, ZKM Center for Art and Media Karlsruhe, Musée d'art moderne de Paris, Stedelijk Museum voor Actuele Kunst, Staatsgalerie Stuttgart, Prints in the National Gallery of Art, drawings in the National Gallery of Art, Museum of Modern Art, National Museum of Modern Art, Museum Boijmans Van Beuningen, National Gallery of Art, Strasbourg Museum of Modern and Contemporary Art, Stedelijk Museum Amsterdam, Musée national des beaux-arts du Québec, National Museum of Modern and Contemporary Art, South Korea, Smithsonian American Art Museum, Media Arts in the National Gallery of Art, Contemporary Arts Center, Nam June Paik Art Center, Sculptures in the National Gallery of Art, Kunsthaus Zürich, San Francisco Museum of Modern Art"
Q158060,W. E. B. Du Bois,,,
Q158255,Lyonel Feininger,"wood, canvas, oil paint, pen, India ink, watercolor paint, linen, laid paper, paper, paint, wove paper","Cubism, Expressionism","Museum Folkwang, Anhaltische Gemäldegalerie, Busch–Reisinger Museum, Walker Art Center, Crystal Bridges Museum of American Art, Silesian Museum of Fine Arts, Moritzburg Art Museum, Hessian State Museum Darmstadt, August Kestner Museum, Kunstmuseum Mülheim an der Ruhr, Vanderbilt Museum of Art, http://www.wikidata.org/.well-known/genid/bf31e481ac9afd1ecd663ad6289b8cb7, Abteiberg Museum, Kunsthalle Mannheim, Angermuseum, Alte Nationalgalerie, University of Missouri–St. Louis, Bauhaus Archive, Bavarian State Painting Collections, Neue Galerie, Dresden City Museum, National Museum in Szczecin, ""degenerate art"" collection, Staatliche Kunsthalle Karlsruhe, Memorial Art Gallery, Hamburger Kunsthalle, Von der Heydt Museum, Gemäldegalerie Alte Meister, Museum of Fine Arts, Houston, Kaiser Wilhelm Museum, Mildred Lane Kemper Art Museum, Neue Nationalgalerie, Israel Museum, Hunterian Museum and Art Gallery, Saint Louis Art Museum, Harvard Art Museums, Art Institute of Chicago, Thyssen-Bornemisza Museum, Solomon R. Guggenheim Museum, Schloss Weimar, Los Angeles County Museum of Art, Prints in the National Gallery of Art, drawings in the National Gallery of Art, Metropolitan Museum of Art, Museum of Modern Art, Pennsylvania Academy of the Fine Arts, Museum Boijmans Van Beuningen, National Gallery of Art, Philadelphia Museum of Art, Rosenwald Collection"
Q158765,"George Herbert, 5th Earl of Carnarvon",,,
